chapter_file,chapter_index,title,line_number,raw_text,normalized_text,context_before,context_after,keyword_score,tfidf_similarity,fuzzy_similarity,final_score,matched_seed,category,decision
converted/Super Gene/chapters/421-chapter-420-preparation-before-evolution.md,421,Chapter 420 : Preparation before Evolution,36,Life essence of desert bird consumed. One super geno point gained— Super geno points maxed out.,life essence of desert bird consumed. one super geno point gained super geno points maxed out.,,,1.0,0.3888,0.8,0.6215,Life Essence Of Golden Growler Consumed. One Super Geno Point Gained.,life_essence,review
converted/Super Gene/chapters/1049-chapter-1048-gold-raven-beast-soul.md,1049,Chapter 1048 - Gold Raven Beast Soul,26,Super Creature Three-Claw Gold Raven killed. Beast soul gained. Its flesh is inedible and there is no Super Geno Essence for retrieval.,super creature three claw gold raven killed. beast soul gained. its flesh is inedible and there is no super geno essence for retrieval.,,,0.65,0.5311,0.9043,0.6116,Super Creature Devil-Horn Sheep King killed. Beast soul gained. Its flesh is inedible and there is no Life Geno Essence for retrieval.,beast_soul_result,review
converted/Super Gene/chapters/1765-chapter-1764-trading-with-the-lady.md,1765,Chapter 1764 - Trading with the Lady,90,Xenogeneic Baron hunted; xenogeneic gene found: Gold Sun Bull.,xenogeneic baron hunted; xenogeneic gene found: gold sun bull.,,,0.30000000000000004,0.6942,0.8923,0.5997,Xenogeneic Baron hunted; Xenogeneic Gene Found.,xenogeneic_gene,review
converted/Super Gene/chapters/1433-chapter-1432-strong-physical-power.md,1433,Chapter 1432 - Strong Physical Power,48,Sacred-Blood Creature Green Crystal Bug killed. No beast soul gained. The geno core was shattered. The flesh is edible. Consume its flesh to earn zero to ten sacred geno points randomly.,sacred blood creature green crystal bug killed. no beast soul gained. the geno core was shattered. the flesh is edible. consume its flesh to earn zero to ten sacred geno points randomly.,,,0.85,0.3946,0.9478,0.5976,Sacred-Blood Creature Green Falcon Killed. No Beast Soul Gained. Consume Its Flesh to Gain Zero to Ten Sacred Geno Points Randomly.,beast_soul_result,review
converted/Super Gene/chapters/972-chapter-971-mutant-sabertooth-bee.md,972,Chapter 971 - Mutant Sabertooth Bee,46,Mutant Creature Sabertooth Bee killed. The beast soul has been acquired. Consume its flesh to gain zero to ten mutant geno points randomly.,mutant creature sabertooth bee killed. the beast soul has been acquired. consume its flesh to gain zero to ten mutant geno points randomly.,,,0.75,0.4509,0.8966,0.5941,Mutant Creature Thorn Bug Killed. No Beast Soul Gained. Consume Its Flesh To Gain Zero To Ten Mutant Geno Points Randomly.,beast_soul_result,review
converted/Super Gene/chapters/1048-chapter-1047-killing-the-gold-bird.md,1048,Chapter 1047 - Killing the Gold Bird,22,Super Creature Three-Claw Gold Raven killed. No beast soul gained. Its flesh is inedible and there is no Super Geno Essence for retrieval.,super creature three claw gold raven killed. no beast soul gained. its flesh is inedible and there is no super geno essence for retrieval.,,,0.65,0.5007,0.9043,0.5939,Super Creature Devil-Horn Sheep King killed. Beast soul gained. Its flesh is inedible and there is no Life Geno Essence for retrieval.,beast_soul_result,review
converted/Super Gene/chapters/1325-chapter-1324-strong-body.md,1325,Chapter 1324 - Strong Body,38,Berserk Super Creature Black Dragon killed. Beast soul gained. Consume its Super Geno Essence to gain zero to ten super geno points randomly.”,"berserk super creature black dragon killed. beast soul gained. consume its super geno essence to gain zero to ten super geno points randomly.""",,,0.85,0.4053,0.8491,0.592,Super Creature Silver-Winged Holy Butterfly Killed. No Beast Soul Gained. Eat The Flesh To Gain Zero To Ten Super Geno Points Randomly. You May Also Harvest Its Life Geno Essence. Consume Its Life Geno Essence To Gain Zero To Ten Super Geno Points Randomly.,beast_soul_result,review
converted/Super Gene/chapters/717-chapter-716-son-of-god-reward.md,717,Chapter 716 : Son of God Reward,28,You have obtained title of *‘Tenth Son of God.’* Your randomised reward is opening.,you have obtained title of 'tenth son of god.' your randomised reward is opening.,,,0.2,0.7077,0.9872,0.589,You Have Obtained Title Of 'Tenth Son Of God.' Your Randomized Reward Is Opening.,unknown_voice,review
converted/Super Gene/chapters/2317-chapter-2316-metal-dollar.md,2317,Chapter 2316 - Metal Dollar,72,Xenogeneic Duke hunted. Metal Dollar: xenogeneic gene found. Obtained Metal Dollar beast soul.,xenogeneic duke hunted. metal dollar: xenogeneic gene found. obtained metal dollar beast soul.,,,0.9500000000000001,0.3162,1.0,0.5884,Xenogeneic Duke hunted. Xenogeneic gene found. Obtained beast soul.,xenogeneic_gene,review
converted/Super Gene/chapters/1496-chapter-1495-berserk-super-beast-soul.md,1496,Chapter 1495 - Berserk Super Beast Soul,96,Sacred-blood Creature Shockfish killed. No beast soul gained. Geno Core shattered. Eat the flesh to gain zero-to-ten geno points randomly.,sacred blood creature shockfish killed. no beast soul gained. geno core shattered. eat the flesh to gain zero to ten geno points randomly.,,,0.85,0.3852,0.9111,0.5878,Black Beetle Killed. No Beast Soul Gained. Eat The Flesh Of The Black Beetle To Gain Zero To Ten Geno Points Randomly.,beast_soul_result,review
converted/Super Gene/chapters/2476-chapter-2475-chess-pieces.md,2476,Chapter 2475 - Chess Pieces,22,Xenogeneic Duke hunted: White Unicorn. Xenogeneic gene found. Obtained White Unicorn beast soul.,xenogeneic duke hunted: white unicorn. xenogeneic gene found. obtained white unicorn beast soul.,,,0.9500000000000001,0.3109,0.9231,0.5761,Xenogeneic Duke hunted. Xenogeneic gene found. Obtained beast soul.,xenogeneic_gene,review
converted/Super Gene/chapters/1607-chapter-1606-fighting-the-shelter.md,1607,Chapter 1606 - Fighting the Shelter,16,Berserk Super Creature Fallen Slaughter killed. Beast soul gained. Geno core destroyed. Flesh cannot be eaten. Collect the Super Geno Essence to gain one to ten super geno points randomly.,berserk super creature fallen slaughter killed. beast soul gained. geno core destroyed. flesh cannot be eaten. collect the super geno essence to gain one to ten super geno points randomly.,<!-- source: span.dropcap -->,,1.0,0.3014,0.8289,0.5743,Super Creature Mountain River Beast Killed. No Beast Soul Gained. Geno Core Destroyed. the Flesh Is Edible. Claim the Life Geno Essence to Gain Zero to Ten Super Geno Points Randomly.,beast_soul_result,review
converted/Super Gene/chapters/2223-chapter-2222-gold-fire-peacock.md,2223,Chapter 2222 - Gold Fire Peacock,60,Xenogeneic Duke hunted. Gold Fire Peacock: xenogeneic gene found. Obtained Gold Fire Peacock beast soul.,xenogeneic duke hunted. gold fire peacock: xenogeneic gene found. obtained gold fire peacock beast soul.,,,0.9500000000000001,0.2813,1.0,0.5682,Xenogeneic Duke hunted. Xenogeneic gene found. Obtained beast soul.,xenogeneic_gene,review
converted/Super Gene/chapters/1688-chapter-1687-jewellery-ligh.md,1688,Chapter 1687 - Jewellery Ligh,24,Super Creature Death Armour Swordsman killed. Beast soul gained. Geno Core shattered. The flesh is not edible. Collect Super Geno Essence to gain zero to ten super geno points randomly.,super creature death armour swordsman killed. beast soul gained. geno core shattered. the flesh is not edible. collect super geno essence to gain zero to ten super geno points randomly.,,,0.85,0.3621,0.8507,0.5671,Super Creature Mountain River Beast Killed. No Beast Soul Gained. Geno Core Destroyed. the Flesh Is Edible. Claim the Life Geno Essence to Gain Zero to Ten Super Geno Points Randomly.,beast_soul_result,review
converted/Super Gene/chapters/2732-chapter-2731-god-body-evolved.md,2732,Chapter 2731 - God Body Evolved,68,Deified gene +1. Deified progress: 56 out of 100.,deified gene +1. deified progress: 56 out of 100.,,,0.30000000000000004,0.6352,0.8814,0.5642,Deified gene +1. Deified progress: 56/100,geno_point_gain,review
converted/Super Gene/chapters/2732-chapter-2731-god-body-evolved.md,2732,Chapter 2731 - God Body Evolved,80,Deified gene +1. Deified progress: 98 out of 100.,deified gene +1. deified progress: 98 out of 100.,,,0.30000000000000004,0.6352,0.8814,0.5642,Deified gene +1. Deified progress: 98/100,geno_point_gain,review
converted/Super Gene/chapters/2732-chapter-2731-god-body-evolved.md,2732,Chapter 2731 - God Body Evolved,86,Deified gene +1. Deified progress: 100 out of 100— God body evolving—,deified gene +1. deified progress: 100 out of 100 god body evolving,,,0.30000000000000004,0.6405,0.8496,0.5634,Deified gene +1. Deified progress: 100/100... God body evolving...,geno_point_gain,review
converted/Super Gene/chapters/2396-chapter-2395-move-mountain-area.md,2396,Chapter 2395 - Move Mountain Area,106,Mutant Xenogeneic King hunted: Core Demon Bug. Xenogeneic gene found. Obtained King class mutant beast soul Core Demon Bug.,mutant xenogeneic king hunted: core demon bug. xenogeneic gene found. obtained king class mutant beast soul core demon bug.,,,0.9500000000000001,0.2887,0.8929,0.5596,Mutant Xenogeneic King hunted: Gold Demon Bug King. Xenogeneic gene found. Obtained Mutant Gold Demon Bug beast soul.,xenogeneic_gene,review
converted/Super Gene/chapters/2732-chapter-2731-god-body-evolved.md,2732,Chapter 2731 - God Body Evolved,26,Deified gene +1. Deified progress: 30 out of 100.,deified gene +1. deified progress: 30 out of 100.,,,0.30000000000000004,0.6267,0.8814,0.5592,Deified gene +1. Deified progress: 30/100,geno_point_gain,review
converted/Super Gene/chapters/389-chapter-388-super-pet-armour.md,389,Chapter 388 : Super Pet Armour,40,Pet not transformed yet. Unable to use the armour.,pet not transformed yet. unable to use the armour.,,,0.1,0.7129,0.9474,0.5572,Pet not transformed yet. Unable to use pet armor.,unknown_voice,review
converted/Super Gene/chapters/2732-chapter-2731-god-body-evolved.md,2732,Chapter 2731 - God Body Evolved,36,Deified gene +1. Deified progress: 40 out of 100—,deified gene +1. deified progress: 40 out of 100,,,0.30000000000000004,0.6283,0.8387,0.5551,Deified gene +1. Deified progress: 40/100...,geno_point_gain,review
converted/Super Gene/chapters/1586-chapter-1585-the-name-of-dollar.md,1586,Chapter 1585 - The Name of Dollar,28,Berserk Super Creature Destroyer Wolf killed. Destroyer Wolf beast soul has been obtained. Geno core unobtained. Flesh inedible. Collect its Super Geno Essence to receive zero to ten super geno points randomly.,berserk super creature destroyer wolf killed. destroyer wolf beast soul has been obtained. geno core unobtained. flesh inedible. collect its super geno essence to receive zero to ten super geno points randomly.,,,1.0,0.2797,0.7601,0.5534,Super Creature Bloodthirsty Ant King Killed. Beast Soul Gained. Geno Core Unobtained. Flesh Inedible. Consume the Life Geno Essence to Gain Zero to Ten Super Geno Points.,beast_soul_result,review
converted/Super Gene/chapters/1496-chapter-1495-berserk-super-beast-soul.md,1496,Chapter 1495 - Berserk Super Beast Soul,40,"Berserk Super Creature Gold-Patterned Crab King killed. Beast soul gained. Geno Core unobtained. Flesh is edible, and you may harvest its Super Geno Essence.","berserk super creature gold patterned crab king killed. beast soul gained. geno core unobtained. flesh is edible, and you may harvest its super geno essence.",,,0.9500000000000001,0.3106,0.734,0.5532,Super Creature Bloodthirsty Ant King Killed. Beast Soul Gained. Geno Core Unobtained. Flesh Inedible. Consume the Life Geno Essence to Gain Zero to Ten Super Geno Points.,beast_soul_result,review
converted/Super Gene/chapters/2676-chapter-2675-fighting-the-mantis-across-the-mountains.md,2676,Chapter 2675 - Fighting the Mantis Across the Mountains,88,Mutant Xenogeneic King hunted: Break Space Mantis. Mutant xenogeneic gene found. Obtained mutant Break Space Mantis beast soul.,mutant xenogeneic king hunted: break space mantis. mutant xenogeneic gene found. obtained mutant break space mantis beast soul.,,,0.9500000000000001,0.2746,0.8571,0.5471,Mutant Xenogeneic King hunted: Gold Demon Bug King. Xenogeneic gene found. Obtained Mutant Gold Demon Bug beast soul.,xenogeneic_gene,review
converted/Super Gene/chapters/1247-chapter-1246-battle-gene-beast-soul.md,1247,Chapter 1246 - Battle Gene Beast Soul,28,Super-class Thunder Hammer [battle gene type] beast soul obtained.,super class thunder hammer battle gene type beast soul obtained.,,,0.5,0.4616,1.0,0.5377,Super-class Thunder Hammer Beast Soul Obtained.,beast_soul_result,review
converted/Super Gene/chapters/1992-chapter-1991-picked-up-one.md,1992,Chapter 1991 - Picked Up One,36,Earl class xenogeneic geno art obtained: Red Reaper,earl class xenogeneic geno art obtained: red reaper,,,0.30000000000000004,0.5688,0.8791,0.5254,Earl Class Xenogeneic Geno Art Obtained: Ant Queen Mark,xenogeneic_gene,review
converted/Super Gene/chapters/2527-chapter-2526-meeting-li-keer-again.md,2527,Chapter 2526 - Meeting Li Keer Again,18,Xenogeneic King hunted: Steel Armour. Xenogeneic gene found. Obtained Steel Armour beast soul.,xenogeneic king hunted: steel armour. xenogeneic gene found. obtained steel armour beast soul.,,,0.9500000000000001,0.2292,0.8421,0.519,Xenogeneic King hunted: Move Mountain Sea Conch. Xenogeneic gene found. Obtained beast soul.,xenogeneic_gene,review
converted/Super Gene/chapters/2099-chapter-2098-invincible-bai-sema.md,2099,Chapter 2098 - Invincible Bai Sema,60,Xenogeneic Marquise hunted. Night Ghost: xenogeneic gene found. Obtained Night Ghost beast soul.,xenogeneic marquise hunted. night ghost: xenogeneic gene found. obtained night ghost beast soul.,,,0.9500000000000001,0.206,0.9533,0.5189,Xenogeneic Duke hunted. Xenogeneic gene found. Obtained beast soul.,xenogeneic_gene,review
converted/Super Gene/chapters/2655-chapter-2654-an-accurate-kill-that-is-like-a-surgical-incision.md,2655,Chapter 2654 - An Accurate Kill That Is Like a Surgical Incision,74,Xenogeneic King hunted: Star Beetle. Xenogeneic gene found. Obtained Star Beetle beast soul.,xenogeneic king hunted: star beetle. xenogeneic gene found. obtained star beetle beast soul.,,,0.9500000000000001,0.225,0.8485,0.5173,Xenogeneic King hunted: Move Mountain Sea Conch. Xenogeneic gene found. Obtained beast soul.,xenogeneic_gene,review
converted/Super Gene/chapters/2735-chapter-2734-levelling-up-to-deified.md,2735,Chapter 2734 - Levelling Up to Deified,44,God body evolution complete. Battle body levelled up to deified class—,god body evolution complete. battle body levelled up to deified class,,,0.1,0.6382,0.9692,0.5165,God Body Evolution Complete. Battle Body Leveled Up to Deified Class...,unknown_voice,review
converted/Super Gene/chapters/2489-chapter-2488-hunting-cloud-beasts.md,2489,Chapter 2488 - Hunting Cloud Beasts,74,Xenogeneic King hunted: Cloud Tiger. Xenogeneic gene found. Obtained Cloud Tiger beast soul.,xenogeneic king hunted: cloud tiger. xenogeneic gene found. obtained cloud tiger beast soul.,,,0.9500000000000001,0.2172,0.855,0.5136,Xenogeneic King hunted: Move Mountain Sea Conch. Xenogeneic gene found. Obtained beast soul.,xenogeneic_gene,review
converted/Super Gene/chapters/1607-chapter-1606-fighting-the-shelter.md,1607,Chapter 1606 - Fighting the Shelter,16,Berserk Super Creature Fallen Slaughter killed. Beast soul gained. Collect the Super Geno Essence to gain one to ten super geno points randomly.,berserk super creature fallen slaughter killed. beast soul gained. collect the super geno essence to gain one to ten super geno points randomly.,<!-- source: span.dropcap -->,,0.85,0.2653,0.8676,0.513,"Berserk Super Creature Transparent King Scorpion Killed. Beast Soul Gained. the Flesh of This Creature Is Inedible, but You May Harvest Its Life Geno Essence. Consume Its Life Geno Essence to Gain Zero to Ten Super Geno Points Randomly.",beast_soul_result,review
converted/Super Gene/chapters/2057-chapter-2056-stone-cow.md,2057,Chapter 2056 - Stone Cow,26,Xenogeneic Marquise hunted. Rock Shark: xenogeneic gene found. Obtained Rock Shark beast soul.,xenogeneic marquise hunted. rock shark: xenogeneic gene found. obtained rock shark beast soul.,,,0.9500000000000001,0.1939,0.9533,0.5118,Xenogeneic Duke hunted. Xenogeneic gene found. Obtained beast soul.,xenogeneic_gene,review
converted/Super Gene/chapters/1977-chapter-1976-slap-your-turtle-son.md,1977,"Chapter 1976 - Slap Your Turtle, Son",94,Xenogeneic Marquise mutant hunted. Xuanyuan Dragon: xenogeneic gene found. Obtained mutant Xuanyuan Dragon beast soul.,xenogeneic marquise mutant hunted. xuanyuan dragon: xenogeneic gene found. obtained mutant xuanyuan dragon beast soul.,,,0.9500000000000001,0.2241,0.8027,0.5113,Mutant Xenogeneic Marquise killed. Petrified Demon Cow: mutant xenogeneic gene found. Obtained mutant xenogeneic beast soul.,xenogeneic_gene,review
converted/Super Gene/chapters/285-chapter-285-flame-lieutenant.md,285,Chapter 285 : Flame Lieutenant,16,Beast soul identified. Sacred-blood beast soul flame Lieutenant gained.,beast soul identified. sacred blood beast soul flame lieutenant gained.,<!-- source: span.dropcap -->,,0.30000000000000004,0.5439,0.8776,0.5108,Beast Soul Identified. Sacred-Blood Beast Soul Devil Sword Gained.,beast_soul_result,review
converted/Super Gene/chapters/2799-chapter-2798-yin-ghost-head.md,2799,Chapter 2798 - Yin Ghost Head,94,Xenogeneic deified hunted. Yin Head Ghost: xenogeneic gene found. Obtained Weird Head Ghost beast soul. Deified gene already absorbed— Deified gene—,xenogeneic deified hunted. yin head ghost: xenogeneic gene found. obtained weird head ghost beast soul. deified gene already absorbed deified gene,,,0.9500000000000001,0.1857,0.9664,0.5087,Xenogeneic deified hunted. Time Ghost: Deified xenogeneic gene found. Obtained Time Ghost deified beast soul.,xenogeneic_gene,review
converted/Super Gene/chapters/2972-chapter-2971-well-lotus.md,2972,Chapter 2971 - Well Lotus,30,Deified Xenogeneic hunted. Light Well Lotus: deified xenogeneic gene found. Deified beast soul obtained.,deified xenogeneic hunted. light well lotus: deified xenogeneic gene found. deified beast soul obtained.,,,0.9500000000000001,0.2017,0.8831,0.508,Xenogeneic deified hunted. Time Ghost: Deified xenogeneic gene found. Obtained Time Ghost deified beast soul.,xenogeneic_gene,review
converted/Super Gene/chapters/2972-chapter-2971-well-lotus.md,2972,Chapter 2971 - Well Lotus,72,Deified Xenogeneic hunted. Light Well Lotus: deified xenogeneic gene found. Deified beast soul obtained.,deified xenogeneic hunted. light well lotus: deified xenogeneic gene found. deified beast soul obtained.,,,0.9500000000000001,0.2017,0.8831,0.508,Xenogeneic deified hunted. Time Ghost: Deified xenogeneic gene found. Obtained Time Ghost deified beast soul.,xenogeneic_gene,review
converted/Super Gene/chapters/2786-chapter-2785-killing-sky-radish.md,2786,Chapter 2785 - Killing Sky Radish,60,Deified Gene +1— Deified Gene +1—,deified gene +1 deified gene +1,,,0.30000000000000004,0.5354,0.8889,0.5072,Successful infusion of deified gene. Deified gene +1. Deified progress is 1/100.,geno_point_gain,review
converted/Super Gene/chapters/2795-chapter-2794-by-mistake.md,2795,Chapter 2794 - By Mistake,28,Deified gene +1— deified gene +1—,deified gene +1 deified gene +1,,,0.30000000000000004,0.5354,0.8889,0.5072,Successful infusion of deified gene. Deified gene +1. Deified progress is 1/100.,geno_point_gain,review
converted/Super Gene/chapters/2351-chapter-2350-water-god-level-up.md,2351,Chapter 2350 - Water God Level Up,50,Xenogeneic King hunted: Silver-Wing Dragon. Xenogeneic gene found. Obtained Silver-Winged Dragon beast soul.,xenogeneic king hunted: silver wing dragon. xenogeneic gene found. obtained silver winged dragon beast soul.,,,0.9500000000000001,0.2106,0.8175,0.5053,Xenogeneic King hunted: Move Mountain Sea Conch. Xenogeneic gene found. Obtained beast soul.,xenogeneic_gene,review
converted/Super Gene/chapters/2210-chapter-2209-bring-it-if-you-want-to.md,2210,Chapter 2209 - Bring it if you Want to,44,Mutant Xenogeneic Duke Shadow Queen Bee killed. Mutant xenogeneic gene found. Obtained Shadow Queen Bee beast soul.,mutant xenogeneic duke shadow queen bee killed. mutant xenogeneic gene found. obtained shadow queen bee beast soul.,,,0.9500000000000001,0.2026,0.8406,0.5034,Mutant Xenogeneic Marquise killed. Petrified Demon Cow: mutant xenogeneic gene found. Obtained mutant xenogeneic beast soul.,xenogeneic_gene,review
converted/Super Gene/chapters/1660-chapter-1659-suppressing-all-of-the-tribe.md,1660,Chapter 1659 - Suppressing All of the Tribe,78,Berserk Super Creature Illusion Beast killed. No beast soul gained. Geno core destroyed. The flesh has been destroyed. The Super Geno Essence is missing.,berserk super creature illusion beast killed. no beast soul gained. geno core destroyed. the flesh has been destroyed. the super geno essence is missing.,,,0.65,0.3556,0.8309,0.501,Super Creature Mountain River Beast Killed. No Beast Soul Gained. Geno Core Destroyed. the Flesh Is Edible. Claim the Life Geno Essence to Gain Zero to Ten Super Geno Points Randomly.,beast_soul_result,review
converted/Super Gene/chapters/029-chapter-29-storm-bird.md,29,Chapter 29 : storm-bird,58,No sacred geno point gained.,no sacred geno point gained.,,,0.30000000000000004,0.5191,0.8947,0.4985,Sacred-Geno Point +1.,geno_point_gain,review
converted/Super Gene/chapters/693-chapter-692-absorbing-the-super-geno-essence.md,693,Chapter 692 : Absorbing the Super Geno Essence,96,Son of God.,son of god.,,,0.1,0.6005,1.0,0.4983,Tenth Son Of God.,unknown_voice,review
converted/Super Gene/chapters/2213-chapter-2212-mutant-galactic-shrimp.md,2213,Chapter 2212 - Mutant Galactic Shrimp,22,Xenogeneic Marquise Galactic Shrimp killed. Xenogeneic gene found. Obtained Galactic Shrimp beast soul.,xenogeneic marquise galactic shrimp killed. xenogeneic gene found. obtained galactic shrimp beast soul.,,,0.9500000000000001,0.1866,0.8687,0.4975,Xenogeneic Duke hunted. Xenogeneic gene found. Obtained beast soul.,xenogeneic_gene,review
converted/Super Gene/chapters/2505-chapter-2504-digging-treasure.md,2505,Chapter 2504 - Digging Treasure,38,Xenogeneic King hunted: Toxic Umbrella Mushroom. Xenogeneic gene found. Obtained Toxic Umbrella Mushroom beast soul.,xenogeneic king hunted: toxic umbrella mushroom. xenogeneic gene found. obtained toxic umbrella mushroom beast soul.,,,0.9500000000000001,0.1966,0.8175,0.4971,Xenogeneic King hunted: Move Mountain Sea Conch. Xenogeneic gene found. Obtained beast soul.,xenogeneic_gene,review
converted/Super Gene/chapters/2214-chapter-2213-one-shot-to-the-soul.md,2214,Chapter 2213 - One Shot to the Soul,82,Xenogeneic King Galactic Lobster killed. Xenogeneic gene found. Obtained Galactic Lobster beast soul.,xenogeneic king galactic lobster killed. xenogeneic gene found. obtained galactic lobster beast soul.,,,0.9500000000000001,0.1854,0.8687,0.4968,Xenogeneic Duke hunted. Xenogeneic gene found. Obtained beast soul.,xenogeneic_gene,review
converted/Super Gene/chapters/2521-chapter-2520-wan-er-wakes-up.md,2521,Chapter 2520 - Wan’er Wakes Up,16,Deified Xenogeneic hunted: Gold Robot General. Xenogeneic gene found. Obtained Gold Robot General beast soul.,deified xenogeneic hunted: gold robot general. xenogeneic gene found. obtained gold robot general beast soul.,<!-- source: span.dropcap -->,,0.9500000000000001,0.1848,0.8687,0.4964,Xenogeneic Duke hunted. Xenogeneic gene found. Obtained beast soul.,xenogeneic_gene,review
converted/Super Gene/chapters/1844-chapter-1843-killing-a-viscount-xenogeneic.md,1844,Chapter 1843 - Killing a Viscount Xenogeneic,93,Xenogeneic Viscount hunted; xenogeneic gene found: King Earthworm,xenogeneic viscount hunted; xenogeneic gene found: king earthworm,,,0.30000000000000004,0.5177,0.8387,0.4909,Xenogeneic Viscount Hunted; Xenogeneic Gene Found: Old Elephant Man,xenogeneic_gene,review
